"Profile_ID","Age","Gender","Role","Seniority_Level","Company_Name","Company_Size_Employees","Industry","Location_City","Business_Interests","Business_Objectives","Constraints"
"5001","30","Non-binary","Investment Analyst","Senior","Bain","37","SaaS","Sydney","Product Management;Venture Capital","Looking for internship opportunities;Exploring freelance or contract work;Exploring partnerships or collaborations","Not evaluating service-based businesses"
"5002","28","Male","Marketing Manager","Executive","Zoho","171","Supply Chain","New York","Startup Ecosystem;Sales;SaaS;Open Source","Learning about industry trends;Looking for internship opportunities","Prefer B2C or high-growth startups"
"5003","57","Non-binary","Consultant","Senior","Shopee","71076","EdTech","Dubai","Startup Ecosystem;SaaS","Building professional visibility;Mentorship and guidance","Looking for short-term or project-based engagements;Not interested in permanent full-time roles"
"5004","52","Male","Marketing Manager","Senior","Microsoft","143","AI","San Francisco","AI;Startup Ecosystem","Learning about industry trends","Interested in growth or performance marketing roles"
"5005","41","Non-binary","Founder","","Razorpay","37","Climate Tech","Berlin","SaaS","Networking with industry peers","Prefer discussions with decision-makers only;Looking to connect with experienced operators or advisors"
"5006","25","Non-binary","Consultant","","TikTok","953","HealthTech","Berlin","Content Creation;Venture Capital","Exploring new job opportunities","Not interested in permanent full-time roles"
"5007","42","Male","Content Creator","Junior","Atlassian","140","Media","Singapore","Product Management;Data Science","Learning about industry trends","Not interested in full-time corporate roles"
"5008","31","Female","Co-Founder","Junior","Freshworks","84665","SaaS","London","Open Source;Marketing;AI","Mentorship and guidance","Prefer long-term collaboration opportunities;Not interested in solo consulting gigs"
"5009","54","Male","Business Analyst","Senior","Nvidia","783","SaaS","Toronto","Data Science;AI;Marketing","Exploring freelance or contract work;Mentorship and guidance","Not looking for hardcore sales positions;Prefer data-driven organizations"
"5010","21","Non-binary","Business Analyst","Mid","Freshworks","14","FinTech","Berlin","SaaS;Data Science;AI","Mentorship and guidance;Looking for internship opportunities","Prefer data-driven organizations;Interested in strategy, analytics, or ops roles"
"5011","47","Non-binary","Product Manager","","TCS","24","Climate Tech","New York","Sales;Venture Capital;Product Management;AI","Networking with industry peers","Prefer companies with clear product ownership;Not interested in purely sales-driven roles"
"5012","21","Female","Co-Founder","","Databricks","7","Media","Sydney","AI","Exploring partnerships or collaborations;Mentorship and guidance","Prefer long-term collaboration opportunities;Exploring complementary skillset co-founders"
"5013","58","Male","Co-Founder","Junior","Snowflake","32768","FinTech","Sydney","Data Science;Content Creation;SaaS;Marketing","Building professional visibility;Seeking startup or founder connections","Not interested in solo consulting gigs"
"5014","33","Female","Software Engineer","Mid","Gojek","399","SaaS","New York","Marketing;Corporate Innovation","Building professional visibility;Looking for internship opportunities;Exploring partnerships or collaborations","Only interested in technical discussions or engineering roles"
"5015","51","Non-binary","Marketing Manager","","Intel","38","AI","Bangalore","Corporate Innovation;Venture Capital","Exploring new job opportunities","Interested in growth or performance marketing roles"
"5016","57","Non-binary","Co-Founder","","TikTok","22","EdTech","Berlin","SaaS","Mentorship and guidance;Understanding investor expectations","Exploring complementary skillset co-founders"
